ZIP,geometry
31,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.173422,40.308914,0.0 -121.202565,40.446381,0.0 -121.061249,40.388645,0.0 -121.060699,40.314412,0.0 -121.173422,40.308914,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
32,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-119.600794,34.456097,0.0 -119.95601,34.61116,0.0 -119.983504,34.703539,0.0 -120.159462,34.734881,0.0 -120.21005,34.809663,0.0 -120.057186,35.071402,0.0 -119.724515,34.884446,0.0 -119.595295,34.920187,0.0 -119.440782,34.745329,0.0 -119.442432,34.521532,0.0 -119.44738,34.409908,0.0 -119.560654,34.453348,0.0 -119.600794,34.456097,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
33,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-120.001099,39.722202,0.0 -120.001649,39.60673,0.0 -120.002749,39.466513,0.0 -120.003299,39.445068,0.0 -120.098426,39.445068,0.0 -120.269436,39.446168,0.0 -120.587811,39.523699,0.0 -120.629051,39.564939,0.0 -120.59001,39.616627,0.0 -120.42285,39.612228,0.0 -120.144066,39.514351,0.0 -120.21225,39.639172,0.0 -120.058286,39.708456,0.0 -120.001099,39.722202,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
34,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-123.295921,41.869445,0.0 -123.437237,41.879342,0.0 -123.537314,41.970621,0.0 -123.518068,42.000864,0.0 -123.351458,41.999214,0.0 -123.231036,42.003613,0.0 -122.9616,42.003063,0.0 -122.762547,42.004163,0.0 -123.196944,41.842501,0.0 -123.295921,41.869445,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
35,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.702947,41.183207,0.0 -121.77388,41.288232,0.0 -122.176935,41.273386,0.0 -122.269863,41.50818,0.0 -122.049365,41.643448,0.0 -121.712295,41.63465,0.0 -121.751336,41.860097,0.0 -121.603421,41.999214,0.0 -121.559431,41.998114,0.0 -121.52314,41.715481,0.0 -121.684252,41.526876,0.0 -121.448907,41.477387,0.0 -121.502794,41.183207,0.0 -121.652909,41.183207,0.0 -121.702947,41.183207,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
37,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.351244,39.799184,0.0 -122.695463,39.800284,0.0 -122.937405,39.798084,0.0 -122.934106,39.977892,0.0 -123.065525,40.286919,0.0 -122.79279,40.356202,0.0 -122.590437,40.358952,0.0 -122.402932,40.374348,0.0 -122.492011,40.278671,0.0 -122.815334,40.172546,0.0 -122.576141,40.060922,0.0 -122.650373,40.017482,0.0 -122.589338,39.90091,0.0 -122.351244,39.799184,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
38,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.440659,40.147802,0.0 -121.667206,39.983391,0.0 -121.804123,39.884414,0.0 -121.923445,39.9438,0.0 -122.007025,40.032329,0.0 -122.052665,40.101063,0.0 -121.811821,40.296267,0.0 -121.660057,40.343555,0.0 -121.429112,40.350154,0.0 -121.355429,40.260525,0.0 -121.440659,40.147802,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
39,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-123.544462,40.076319,0.0 -123.276675,40.002636,0.0 -123.350358,40.233581,0.0 -123.228287,40.242929,0.0 -123.439437,40.404041,0.0 -123.50927,40.53381,0.0 -123.355856,40.566803,0.0 -123.372353,40.692723,0.0 -123.287123,40.712518,0.0 -123.106215,40.683925,0.0 -123.008339,40.666329,0.0 -122.757598,40.555255,0.0 -123.017137,40.380947,0.0 -123.065525,40.286919,0.0 -122.934106,39.977892,0.0 -123.447685,39.977342,0.0 -123.544462,40.002086,0.0 -123.544462,40.076319,0.0</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-123.248082,40.437583,0.0 -123.104016,40.475524,0.0 -123.115013,40.591547,0.0 -123.226637,40.584398,0.0 -123.248082,40.437583,0.0</coordinates></LinearRing></innerBoundaryIs></Polygon>"
40,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-119.861432,37.767414,0.0 -119.885077,37.925777,0.0 -119.875179,38.03795,0.0 -119.598595,38.181466,0.0 -119.32311,38.051697,0.0 -119.257675,37.91203,0.0 -119.501817,37.930176,0.0 -119.852635,37.758067,0.0 -119.861432,37.767414,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
44,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-119.650832,38.33488,0.0 -120.019795,38.433307,0.0 -120.072583,38.509739,0.0 -120.072583,38.702193,0.0 -119.931266,38.615314,0.0 -119.772903,38.695595,0.0 -119.560654,38.521836,0.0 -119.639285,38.326632,0.0 -119.650832,38.33488,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
47,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.525003,39.669965,0.0 -122.637726,39.385132,0.0 -122.738902,39.383482,0.0 -122.735603,39.580886,0.0 -122.885168,39.580336,0.0 -122.937405,39.798084,0.0 -122.695463,39.800284,0.0 -122.699862,39.710655,0.0 -122.525003,39.669965,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
48,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.787291,39.122294,0.0 -122.812035,39.128892,0.0 -122.9605,39.195427,0.0 -123.009438,39.206424,0.0 -123.024285,39.208074,0.0 -123.006139,39.236117,0.0 -122.948953,39.516551,0.0 -122.885168,39.580336,0.0 -122.735603,39.580886,0.0 -122.738902,39.383482,0.0 -122.780692,39.31035,0.0 -122.482663,39.158036,0.0 -122.489261,39.063458,0.0 -122.526652,39.060709,0.0 -122.619581,39.167383,0.0 -122.787291,39.122294,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
49,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-123.698425,41.817207,0.0 -123.716021,41.596709,0.0 -123.547761,41.38226,0.0 -123.564257,41.38226,0.0 -123.912875,41.46584,0.0 -123.948066,41.46529,0.0 -123.940368,41.633001,0.0 -123.744615,41.802361,0.0 -123.698425,41.817207,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
50,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-123.556559,40.948962,0.0 -123.584602,41.038041,0.0 -123.59285,41.207951,0.0 -123.842491,41.293181,0.0 -123.912875,41.46584,0.0 -123.564257,41.38226,0.0 -123.463081,41.284933,0.0 -123.408094,41.179908,0.0 -123.494974,40.91597,0.0 -123.556559,40.948962,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
51,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-120.684038,38.787423,0.0 -120.615304,38.897947,0.0 -120.54877,38.920492,0.0 -120.260638,39.023317,0.0 -120.184206,39.031016,0.0 -120.147365,38.878702,0.0 -120.121521,38.811617,0.0 -120.136367,38.807768,0.0 -120.345318,38.780825,0.0 -120.644447,38.778075,0.0 -120.684038,38.787423,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
52,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-120.427799,38.644457,0.0 -120.515228,38.705493,0.0 -120.527875,38.727487,0.0 -120.333221,38.729687,0.0 -120.074232,38.722539,0.0 -120.072583,38.702743,0.0 -120.393707,38.539432,0.0 -120.427799,38.644457,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
54,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-123.968962,41.46529,0.0 -123.725369,41.177708,0.0 -123.813348,41.157913,0.0 -123.76441,41.030343,0.0 -123.971161,41.069384,0.0 -124.049792,41.299779,0.0 -124.043744,41.46474,0.0 -123.968962,41.46529,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-123.543912,40.732863,0.0 -123.544462,40.590997,0.0 -123.545012,40.499718,0.0 -123.730318,40.541509,0.0 -123.745714,40.637736,0.0 -123.63904,40.600345,0.0 -123.606597,40.715817,0.0 -123.714372,40.70537,0.0 -123.793003,40.867582,0.0 -123.756162,41.007798,0.0 -123.648937,41.017696,0.0 -123.701175,40.91597,0.0 -123.580203,40.867582,0.0 -123.565357,40.815344,0.0 -123.543912,40.732863,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
55,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-123.282174,40.841738,0.0 -123.453183,40.864832,0.0 -123.494974,40.91597,0.0 -123.408094,41.179908,0.0 -123.042431,41.012747,0.0 -123.12766,40.770255,0.0 -123.157353,40.941814,0.0 -123.282174,40.841738,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
57,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-119.789949,33.959564,0.0 -119.918619,34.077237,0.0 -119.522163,34.033247,0.0 -119.789949,33.959564,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-120.114373,33.89193,0.0 -120.248541,33.999705,0.0 -119.982404,33.984309,0.0 -120.114373,33.89193,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
58,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-119.698671,37.506226,0.0 -119.849335,37.640944,0.0 -119.764655,37.650842,0.0 -119.558454,37.687133,0.0 -119.431434,37.865841,0.0 -119.308813,37.777862,0.0 -119.583748,37.53317,0.0 -119.615091,37.494679,0.0 -119.698671,37.506226,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
61,
65,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-120.730777,39.507203,0.0 -120.820406,39.583085,0.0 -120.84515,39.666665,0.0 -120.874843,39.586384,0.0 -121.026607,39.558341,0.0 -120.863846,39.771691,0.0 -120.655445,39.693609,0.0 -120.619153,39.626525,0.0 -120.629051,39.564939,0.0 -120.587811,39.523699,0.0 -120.713731,39.483009,0.0 -120.743424,39.466513,0.0 -120.730777,39.507203,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90001,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.26516,33.960114,0.0 -118.26516,33.989257,0.0 -118.243715,33.989257,0.0 -118.237666,33.989257,0.0 -118.231618,33.961764,0.0 -118.231068,33.957915,0.0 -118.26516,33.960114,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90002,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.227219,33.940319,0.0 -118.227219,33.938119,0.0 -118.26516,33.939219,0.0 -118.26516,33.960114,0.0 -118.231068,33.957915,0.0 -118.227219,33.940319,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90003,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.26516,33.939219,0.0 -118.282756,33.939219,0.0 -118.282756,33.989257,0.0 -118.273958,33.989257,0.0 -118.26516,33.989257,0.0 -118.26516,33.960114,0.0 -118.26516,33.939219,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90005,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.284405,34.055792,0.0 -118.309149,34.055792,0.0 -118.339392,34.058541,0.0 -118.338293,34.06239,0.0 -118.283306,34.06129,0.0 -118.284405,34.055792,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90006,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.309149,34.039845,0.0 -118.309149,34.055792,0.0 -118.284405,34.055792,0.0 -118.275607,34.051943,0.0 -118.282756,34.039296,0.0 -118.300351,34.039845,0.0 -118.309149,34.039845,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90008,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.316848,34.018401,0.0 -118.317397,34.003554,0.0 -118.358088,33.996956,0.0 -118.372934,34.011252,0.0 -118.372934,34.01895,0.0 -118.333894,34.018401,0.0 -118.316848,34.018401,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90010,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.284405,34.06349,0.0 -118.283306,34.06129,0.0 -118.338293,34.06239,0.0 -118.338842,34.065139,0.0 -118.284405,34.06349,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90011,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.243165,34.0206,0.0 -118.243715,33.989257,0.0 -118.26516,33.989257,0.0 -118.273958,33.989257,0.0 -118.273958,34.012902,0.0 -118.26461,34.031048,0.0 -118.257462,34.027748,0.0 -118.243165,34.0206,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90013,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.228868,34.041495,0.0 -118.228319,34.038746,0.0 -118.245364,34.042045,0.0 -118.255262,34.048643,0.0 -118.251413,34.053042,0.0 -118.228868,34.041495,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90014,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.245364,34.042045,0.0 -118.250313,34.037096,0.0 -118.259111,34.044244,0.0 -118.255262,34.048643,0.0 -118.245364,34.042045,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90016,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.372934,34.01895,0.0 -118.370185,34.034347,0.0 -118.369635,34.039845,0.0 -118.331144,34.039845,0.0 -118.333894,34.018401,0.0 -118.372934,34.01895,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90017,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.256362,34.056342,0.0 -118.255262,34.048643,0.0 -118.259111,34.044244,0.0 -118.274508,34.053592,0.0 -118.269009,34.06129,0.0 -118.256912,34.056342,0.0 -118.256362,34.056342,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90018,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.300351,34.018401,0.0 -118.300351,34.017301,0.0 -118.316848,34.018401,0.0 -118.333894,34.018401,0.0 -118.331144,34.039845,0.0 -118.309149,34.039845,0.0 -118.300351,34.039845,0.0 -118.300351,34.018401,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90020,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.284405,34.068439,0.0 -118.284405,34.06349,0.0 -118.338842,34.065139,0.0 -118.338293,34.068989,0.0 -118.284405,34.068439,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90021,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.257462,34.027748,0.0 -118.250313,34.037096,0.0 -118.245364,34.042045,0.0 -118.228319,34.038746,0.0 -118.225569,34.017301,0.0 -118.243165,34.0206,0.0 -118.257462,34.027748,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90022,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.144188,34.033247,0.0 -118.128242,34.007403,0.0 -118.172232,34.010152,0.0 -118.173881,34.023899,0.0 -118.169482,34.050293,0.0 -118.144188,34.033247,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90028,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.344341,34.094283,0.0 -118.344891,34.10418,0.0 -118.309149,34.10528,0.0 -118.309149,34.094832,0.0 -118.344341,34.094283,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90029,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.309149,34.083285,0.0 -118.309149,34.094832,0.0 -118.276707,34.095932,0.0 -118.276157,34.095382,0.0 -118.284405,34.083835,0.0 -118.309149,34.083285,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90031,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.190377,34.097582,0.0 -118.196976,34.06459,0.0 -118.227219,34.054692,0.0 -118.240416,34.089334,0.0 -118.247014,34.094832,0.0 -118.232168,34.093183,0.0 -118.206324,34.097032,0.0 -118.190377,34.097582,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90034,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.370185,34.034347,0.0 -118.416924,34.012902,0.0 -118.418574,34.011802,0.0 -118.430121,34.026649,0.0 -118.398778,34.040395,0.0 -118.370185,34.041495,0.0 -118.369635,34.039845,0.0 -118.370185,34.034347,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90039,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.254162,34.119027,0.0 -118.232168,34.093183,0.0 -118.247014,34.094832,0.0 -118.276157,34.095382,0.0 -118.276707,34.095932,0.0 -118.278907,34.153669,0.0 -118.276157,34.154768,0.0 -118.271758,34.14652,0.0 -118.254162,34.119027,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90040,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.128242,34.007403,0.0 -118.121094,33.972761,0.0 -118.13649,33.967263,0.0 -118.170582,33.97991,0.0 -118.182679,33.993656,0.0 -118.18158,33.995306,0.0 -118.172232,34.010152,0.0 -118.128242,34.007403,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90041,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.215122,34.116277,0.0 -118.228319,34.142671,0.0 -118.228868,34.14597,0.0 -118.190377,34.14927,0.0 -118.185979,34.133873,0.0 -118.215122,34.116277,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90043,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.334993,33.974411,0.0 -118.358638,33.981559,0.0 -118.358088,33.996956,0.0 -118.317397,34.003554,0.0 -118.317397,33.989257,0.0 -118.317947,33.971112,0.0 -118.334993,33.974411,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90044,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.282756,33.939219,0.0 -118.282756,33.916675,0.0 -118.286605,33.916675,0.0 -118.300351,33.916675,0.0 -118.300351,33.989257,0.0 -118.282756,33.989257,0.0 -118.282756,33.939219,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90045,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.370185,33.945268,0.0 -118.364686,33.929871,0.0 -118.370185,33.926022,0.0 -118.378433,33.928772,0.0 -118.429021,33.930971,0.0 -118.427921,33.968362,0.0 -118.402077,33.983759,0.0 -118.385581,33.97716,0.0 -118.370185,33.97881,0.0 -118.371285,33.963414,0.0 -118.370185,33.945268,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90047,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.314098,33.916675,0.0 -118.317947,33.930971,0.0 -118.317947,33.945818,0.0 -118.317947,33.971112,0.0 -118.317397,33.989257,0.0 -118.300351,33.989257,0.0 -118.300351,33.916675,0.0 -118.314098,33.916675,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90048,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.376234,34.059641,0.0 -118.38998,34.072288,0.0 -118.38998,34.081086,0.0 -118.370185,34.083835,0.0 -118.361387,34.083835,0.0 -118.364136,34.057991,0.0 -118.376234,34.059641,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90056,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.358638,33.981559,0.0 -118.370185,33.97881,0.0 -118.385581,33.97716,0.0 -118.387231,34.009603,0.0 -118.372934,34.011252,0.0 -118.358088,33.996956,0.0 -118.358638,33.981559,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90057,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.274508,34.053592,0.0 -118.275607,34.051943,0.0 -118.284405,34.055792,0.0 -118.283306,34.06129,0.0 -118.284405,34.06349,0.0 -118.284405,34.068439,0.0 -118.284405,34.072838,0.0 -118.269009,34.06129,0.0 -118.274508,34.053592,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90059,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.26516,33.902378,0.0 -118.26516,33.939219,0.0 -118.227219,33.938119,0.0 -118.228868,33.923273,0.0 -118.253613,33.902928,0.0 -118.26516,33.901828,0.0 -118.26516,33.902378,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90061,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.26516,33.902378,0.0 -118.282756,33.916675,0.0 -118.282756,33.939219,0.0 -118.26516,33.939219,0.0 -118.26516,33.902378,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90062,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.300351,33.989257,0.0 -118.317397,33.989257,0.0 -118.317397,34.003554,0.0 -118.316848,34.018401,0.0 -118.300351,34.017301,0.0 -118.300351,33.989257,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90069,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.38998,34.081086,0.0 -118.39163,34.10638,0.0 -118.370185,34.083835,0.0 -118.38998,34.081086,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90071,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.256362,34.056342,0.0 -118.251413,34.053042,0.0 -118.255262,34.048643,0.0 -118.256362,34.056342,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90073,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.449916,34.060741,0.0 -118.447717,34.057991,0.0 -118.451566,34.056342,0.0 -118.449916,34.060741,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90077,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.47576,34.126175,0.0 -118.455415,34.133323,0.0 -118.442218,34.130574,0.0 -118.422973,34.079986,0.0 -118.439469,34.078336,0.0 -118.444967,34.073388,0.0 -118.454865,34.076687,0.0 -118.47576,34.126175,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
90089,
90095,
90210,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-118.38998,34.072288,0.0 -118.38998,34.067339,0.0 -118.414175,34.06459,0.0 -118.422973,34.079986,0.0 -118.442218,34.130574,0.0 -118.407026,34.128375,0.0 -118.39053,34.122326,0.0 -118.39163,34.10638,0.0 -118.38998,34.081086,0.0 -118.38998,34.072288,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
