,zipcode,time,year_month,count_1m_loc,count_6m_loc,count_2y_loc,count_1m_loc_time,count_6m_loc_time,count_2y_loc_time,count_1m_time,count_6m_time,count_2y_time,crimes_per_pop,crime_type
2463,90001,0,201804,0.038834951456310676,0.0354924578527063,0.03346554288547347,0.010526315789473684,0.01,0.009837962962962962,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.06087904362559289,1
2477,90001,1,201804,0.038834951456310676,0.0354924578527063,0.03346554288547347,0.042105263157894736,0.022,0.027777777777777776,0.6644257703081232,0.736726765614105,0.7699794123151787,0.06087904362559289,1
2491,90001,2,201804,0.038834951456310676,0.0354924578527063,0.03346554288547347,0.031578947368421054,0.048,0.04050925925925926,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.06087904362559289,1
4968,90002,0,201804,0.2233009708737864,0.3176574977817214,0.35795736241943477,0.08421052631578947,0.10200000000000001,0.1261574074074074,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.7260196844480002,1
4982,90002,1,201804,0.2233009708737864,0.3176574977817214,0.35795736241943477,0.10526315789473684,0.246,0.31481481481481477,0.6644257703081232,0.736726765614105,0.7699794123151787,0.7260196844480002,1
4996,90002,2,201804,0.2233009708737864,0.3176574977817214,0.35795736241943477,0.29473684210526313,0.368,0.39467592592592593,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.7260196844480002,1
7473,90003,0,201804,0.6844660194174756,0.7755102040816327,0.9997521070897372,0.24210526315789474,0.334,0.46469907407407407,0.37198879551820724,0.42225321247136166,0.4618058340686078,1.5674138458601239,1
7487,90003,1,201804,0.6844660194174756,0.7755102040816327,0.9997521070897372,0.5894736842105263,0.744,0.8935185185185185,0.6644257703081232,0.736726765614105,0.7699794123151787,1.5674138458601239,1
7501,90003,2,201804,0.6844660194174756,0.7755102040816327,0.9997521070897372,0.6526315789473685,0.67,0.9756944444444444,0.7999999999999999,0.8933160673373842,0.9935295847704607,1.5674138458601239,1
9978,90004,0,201804,0.13106796116504854,0.160603371783496,0.173029251363411,0.042105263157894736,0.10400000000000001,0.10300925925925926,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.28910188135489695,1
9992,90004,1,201804,0.13106796116504854,0.160603371783496,0.173029251363411,0.08421052631578947,0.1,0.11631944444444443,0.6644257703081232,0.736726765614105,0.7699794123151787,0.28910188135489695,1
10006,90004,2,201804,0.13106796116504854,0.160603371783496,0.173029251363411,0.15789473684210525,0.158,0.18460648148148148,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.28910188135489695,1
12483,90005,0,201804,0.11650485436893203,0.14463176574977818,0.173029251363411,0.07368421052631578,0.08,0.10069444444444443,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.4770668236683605,1
12497,90005,1,201804,0.11650485436893203,0.14463176574977818,0.173029251363411,0.09473684210526316,0.1,0.11458333333333333,0.6644257703081232,0.736726765614105,0.7699794123151787,0.4770668236683605,1
12511,90005,2,201804,0.11650485436893203,0.14463176574977818,0.173029251363411,0.08421052631578947,0.146,0.18865740740740738,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.4770668236683605,1
14988,90006,0,201804,0.2378640776699029,0.2635314995563443,0.30664352999504213,0.10526315789473684,0.126,0.1585648148148148,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.5382750632465138,1
15002,90006,1,201804,0.2378640776699029,0.2635314995563443,0.30664352999504213,0.12631578947368421,0.194,0.2204861111111111,0.6644257703081232,0.736726765614105,0.7699794123151787,0.5382750632465138,1
15016,90006,2,201804,0.2378640776699029,0.2635314995563443,0.30664352999504213,0.28421052631578947,0.274,0.3368055555555555,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.5382750632465138,1
17493,90007,0,201804,0.1844660194174757,0.2803904170363798,0.29499256321269207,0.09473684210526316,0.12,0.13831018518518517,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.7489581470501712,1
17507,90007,1,201804,0.1844660194174757,0.2803904170363798,0.29499256321269207,0.10526315789473684,0.23800000000000002,0.2523148148148148,0.6644257703081232,0.736726765614105,0.7699794123151787,0.7489581470501712,1
17521,90007,2,201804,0.1844660194174757,0.2803904170363798,0.29499256321269207,0.19999999999999998,0.274,0.2980324074074074,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.7489581470501712,1
19998,90008,0,201804,0.19902912621359223,0.20763087843833186,0.2263262270699058,0.05263157894736842,0.06,0.0792824074074074,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.7273636397669642,1
20012,90008,1,201804,0.19902912621359223,0.20763087843833186,0.2263262270699058,0.16842105263157894,0.186,0.203125,0.6644257703081232,0.736726765614105,0.7699794123151787,0.7273636397669642,1
20026,90008,2,201804,0.19902912621359223,0.20763087843833186,0.2263262270699058,0.21052631578947367,0.222,0.24594907407407407,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.7273636397669642,1
22503,90010,0,201804,0.08252427184466019,0.13842058562555457,0.158155676747645,0.042105263157894736,0.114,0.1244212962962963,0.37198879551820724,0.42225321247136166,0.4618058340686078,4.323976202280614,1
22517,90010,1,201804,0.08252427184466019,0.13842058562555457,0.158155676747645,0.06315789473684211,0.09,0.10243055555555555,0.6644257703081232,0.736726765614105,0.7699794123151787,4.323976202280614,1
22531,90010,2,201804,0.08252427184466019,0.13842058562555457,0.158155676747645,0.07368421052631578,0.108,0.1423611111111111,0.7999999999999999,0.8933160673373842,0.9935295847704607,4.323976202280614,1
25008,90011,0,201804,0.3932038834951456,0.44986690328305234,0.5411502231036192,0.12631578947368421,0.158,0.20023148148148148,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.5411502231036192,1
25022,90011,1,201804,0.3932038834951456,0.44986690328305234,0.5411502231036192,0.3157894736842105,0.386,0.4785879629629629,0.6644257703081232,0.736726765614105,0.7699794123151787,0.5411502231036192,1
25036,90011,2,201804,0.3932038834951456,0.44986690328305234,0.5411502231036192,0.4105263157894737,0.47000000000000003,0.5844907407407407,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.5411502231036192,1
27513,90012,0,201804,0.16504854368932037,0.18012422360248448,0.180466038671294,0.1368421052631579,0.106,0.0949074074074074,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.6028028707725325,1
27527,90012,1,201804,0.16504854368932037,0.18012422360248448,0.180466038671294,0.06315789473684211,0.116,0.1412037037037037,0.6644257703081232,0.736726765614105,0.7699794123151787,0.6028028707725325,1
27541,90012,2,201804,0.16504854368932037,0.18012422360248448,0.180466038671294,0.15789473684210525,0.184,0.18518518518518517,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.6028028707725325,1
30018,90013,0,201804,0.587378640776699,0.6308784383318545,0.6970748636588993,0.3894736842105263,0.376,0.3987268518518518,0.37198879551820724,0.42225321247136166,0.4618058340686078,6.151928451856131,1
30032,90013,1,201804,0.587378640776699,0.6308784383318545,0.6970748636588993,0.49473684210526314,0.542,0.6261574074074073,0.6644257703081232,0.736726765614105,0.7699794123151787,6.151928451856131,1
30046,90013,2,201804,0.587378640776699,0.6308784383318545,0.6970748636588993,0.3894736842105263,0.504,0.6024305555555555,0.7999999999999999,0.8933160673373842,0.9935295847704607,6.151928451856131,1
32523,90014,0,201804,0.2669902912621359,0.28748890860692106,0.32920178482895385,0.1368421052631579,0.186,0.21238425925925924,0.37198879551820724,0.42225321247136166,0.4618058340686078,4.88243138179153,1
32537,90014,1,201804,0.2669902912621359,0.28748890860692106,0.32920178482895385,0.23157894736842105,0.232,0.2488425925925926,0.6644257703081232,0.736726765614105,0.7699794123151787,4.88243138179153,1
32551,90014,2,201804,0.2669902912621359,0.28748890860692106,0.32920178482895385,0.21052631578947367,0.23,0.30729166666666663,0.7999999999999999,0.8933160673373842,0.9935295847704607,4.88243138179153,1
35028,90015,0,201804,0.24271844660194172,0.2635314995563443,0.27268220128904314,0.15789473684210525,0.134,0.14756944444444445,0.37198879551820724,0.42225321247136166,0.4618058340686078,1.492125737718385,1
35042,90015,1,201804,0.24271844660194172,0.2635314995563443,0.27268220128904314,0.17894736842105263,0.188,0.20833333333333331,0.6644257703081232,0.736726765614105,0.7699794123151787,1.492125737718385,1
35056,90015,2,201804,0.24271844660194172,0.2635314995563443,0.27268220128904314,0.18947368421052632,0.272,0.2806712962962963,0.7999999999999999,0.8933160673373842,0.9935295847704607,1.492125737718385,1
37533,90016,0,201804,0.21844660194174756,0.25998225377107365,0.29176995537927614,0.031578947368421054,0.08,0.11863425925925926,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.6368720943832203,1
37547,90016,1,201804,0.21844660194174756,0.25998225377107365,0.29176995537927614,0.23157894736842105,0.248,0.24247685185185183,0.6644257703081232,0.736726765614105,0.7699794123151787,0.6368720943832203,1
37561,90016,2,201804,0.21844660194174756,0.25998225377107365,0.29176995537927614,0.21052631578947367,0.258,0.32002314814814814,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.6368720943832203,1
40038,90017,0,201804,0.24271844660194172,0.290150842945874,0.3341596430342092,0.11578947368421053,0.162,0.15162037037037035,0.37198879551820724,0.42225321247136166,0.4618058340686078,1.4606409304152668,1
40052,90017,1,201804,0.24271844660194172,0.290150842945874,0.3341596430342092,0.16842105263157894,0.212,0.2621527777777778,0.6644257703081232,0.736726765614105,0.7699794123151787,1.4606409304152668,1
40066,90017,2,201804,0.24271844660194172,0.290150842945874,0.3341596430342092,0.24210526315789474,0.28,0.3663194444444444,0.7999999999999999,0.8933160673373842,0.9935295847704607,1.4606409304152668,1
42543,90018,0,201804,0.2621359223300971,0.29547471162378,0.32845810609816556,0.11578947368421053,0.14,0.16319444444444445,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.6920334528239832,1
42557,90018,1,201804,0.2621359223300971,0.29547471162378,0.32845810609816556,0.17894736842105263,0.23600000000000002,0.2743055555555555,0.6644257703081232,0.736726765614105,0.7699794123151787,0.6920334528239832,1
42571,90018,2,201804,0.2621359223300971,0.29547471162378,0.32845810609816556,0.2736842105263158,0.29,0.3292824074074074,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.6920334528239832,1
